iteration_number time radius radius_size sum_phi r_dot velocity_top max_velocity RMS_velocity thickness_boundary porosity_center
70 2.0464e+00 6.2000e-01 32 3.9994e-01 1.5631e-01 -3.8436e-05 -1.4024e-06 -3.3551e-05 9.2736e+02 3.9994e-01
71 2.0592e+00 6.4000e-01 33 3.9995e-01 1.5582e-01 -4.1823e-05 -1.4764e-06 -3.6501e-05 9.2086e+02 3.9995e-01
72 2.0721e+00 6.4000e-01 33 3.9995e-01 1.5534e-01 -4.1823e-05 -1.4764e-06 -3.6501e-05 9.1441e+02 3.9995e-01
73 2.0849e+00 6.4000e-01 33 3.9994e-01 1.5486e-01 -4.1822e-05 -1.4764e-06 -3.6501e-05 9.0804e+02 3.9994e-01
74 2.0978e+00 6.4000e-01 33 3.9994e-01 1.5438e-01 -4.1822e-05 -1.4764e-06 -3.6500e-05 9.0173e+02 3.9994e-01
75 2.1108e+00 6.4000e-01 33 3.9994e-01 1.5391e-01 -4.1821e-05 -1.4763e-06 -3.6500e-05 8.9549e+02 3.9994e-01
76 2.1238e+00 6.4000e-01 33 3.9994e-01 1.5344e-01 -4.1821e-05 -1.4763e-06 -3.6500e-05 8.8932e+02 3.9994e-01
77 2.1368e+00 6.4000e-01 33 3.9994e-01 1.5297e-01 -4.1821e-05 -1.4763e-06 -3.6499e-05 8.8322e+02 3.9994e-01
78 2.1499e+00 6.4000e-01 33 3.9994e-01 1.5250e-01 -4.1820e-05 -1.4763e-06 -3.6499e-05 8.7718e+02 3.9994e-01
79 2.1630e+00 6.4000e-01 33 3.9993e-01 1.5204e-01 -4.1820e-05 -1.4763e-06 -3.6499e-05 8.7120e+02 3.9993e-01
80 2.1762e+00 6.4000e-01 33 3.9993e-01 1.5158e-01 -4.1820e-05 -1.4763e-06 -3.6499e-05 8.6529e+02 3.9993e-01
81 2.1894e+00 6.6000e-01 34 3.9994e-01 1.5112e-01 -4.5357e-05 -1.5506e-06 -3.9578e-05 8.4095e+02 3.9994e-01
82 2.2026e+00 6.6000e-01 34 3.9994e-01 1.5067e-01 -4.5356e-05 -1.5506e-06 -3.9578e-05 8.3525e+02 3.9994e-01
83 2.2159e+00 6.6000e-01 34 3.9993e-01 1.5021e-01 -4.5356e-05 -1.5506e-06 -3.9578e-05 8.2960e+02 3.9993e-01
84 2.2292e+00 6.6000e-01 34 3.9993e-01 1.4977e-01 -4.5355e-05 -1.5506e-06 -3.9577e-05 8.2402e+02 3.9993e-01
85 2.2425e+00 6.6000e-01 34 3.9993e-01 1.4932e-01 -4.5355e-05 -1.5506e-06 -3.9577e-05 8.1849e+02 3.9993e-01
86 2.2559e+00 6.6000e-01 34 3.9993e-01 1.4887e-01 -4.5355e-05 -1.5506e-06 -3.9577e-05 8.1302e+02 3.9993e-01
87 2.2694e+00 6.6000e-01 34 3.9993e-01 1.4843e-01 -4.5354e-05 -1.5506e-06 -3.9576e-05 8.0761e+02 3.9993e-01
88 2.2828e+00 6.6000e-01 34 3.9993e-01 1.4799e-01 -4.5354e-05 -1.5506e-06 -3.9576e-05 8.0225e+02 3.9993e-01
89 2.2964e+00 6.6000e-01 34 3.9992e-01 1.4756e-01 -4.5353e-05 -1.5505e-06 -3.9575e-05 7.9695e+02 3.9992e-01
90 2.3099e+00 6.6000e-01 34 3.9992e-01 1.4713e-01 -4.5353e-05 -1.5505e-06 -3.9575e-05 7.9170e+02 3.9992e-01
91 2.3235e+00 6.8000e-01 35 3.9993e-01 1.4669e-01 -4.9038e-05 -1.6251e-06 -4.2783e-05 7.8662e+02 3.9993e-01
92 2.3371e+00 6.8000e-01 35 3.9993e-01 1.4627e-01 -4.9037e-05 -1.6251e-06 -4.2782e-05 7.8158e+02 3.9993e-01
93 2.3508e+00 6.8000e-01 35 3.9992e-01 1.4584e-01 -4.9037e-05 -1.6251e-06 -4.2782e-05 7.7659e+02 3.9992e-01
94 2.3645e+00 6.8000e-01 35 3.9992e-01 1.4542e-01 -4.9036e-05 -1.6251e-06 -4.2781e-05 7.7165e+02 3.9992e-01
95 2.3783e+00 6.8000e-01 35 3.9992e-01 1.4500e-01 -4.9036e-05 -1.6251e-06 -4.2781e-05 7.6676e+02 3.9992e-01
96 2.3921e+00 6.8000e-01 35 3.9992e-01 1.4458e-01 -4.9035e-05 -1.6251e-06 -4.2781e-05 7.6191e+02 3.9992e-01
97 2.4059e+00 6.8000e-01 35 3.9992e-01 1.4416e-01 -4.9035e-05 -1.6250e-06 -4.2780e-05 7.5711e+02 3.9992e-01
98 2.4198e+00 6.8000e-01 35 3.9992e-01 1.4375e-01 -4.9034e-05 -1.6250e-06 -4.2780e-05 7.5236e+02 3.9992e-01
99 2.4337e+00 6.8000e-01 35 3.9991e-01 1.4333e-01 -4.9034e-05 -1.6250e-06 -4.2779e-05 7.4765e+02 3.9991e-01
100 2.4476e+00 6.8000e-01 35 3.9991e-01 1.4293e-01 -4.9033e-05 -1.6250e-06 -4.2779e-05 7.4299e+02 3.9991e-01
101 2.4616e+00 7.0000e-01 36 3.9992e-01 1.4252e-01 -5.2864e-05 -1.6997e-06 -4.6112e-05 7.2220e+02 3.9992e-01
102 2.4757e+00 7.0000e-01 36 3.9992e-01 1.4211e-01 -5.2864e-05 -1.6997e-06 -4.6112e-05 7.1770e+02 3.9992e-01
103 2.4897e+00 7.0000e-01 36 3.9991e-01 1.4171e-01 -5.2863e-05 -1.6997e-06 -4.6111e-05 7.1325e+02 3.9991e-01
104 2.5039e+00 7.0000e-01 36 3.9991e-01 1.4131e-01 -5.2863e-05 -1.6997e-06 -4.6111e-05 7.0884e+02 3.9991e-01
105 2.5180e+00 7.0000e-01 36 3.9991e-01 1.4091e-01 -5.2862e-05 -1.6997e-06 -4.6110e-05 7.0447e+02 3.9991e-01
106 2.5322e+00 7.0000e-01 36 3.9991e-01 1.4052e-01 -5.2861e-05 -1.6997e-06 -4.6110e-05 7.0014e+02 3.9991e-01
107 2.5464e+00 7.0000e-01 36 3.9991e-01 1.4013e-01 -5.2861e-05 -1.6996e-06 -4.6109e-05 6.9586e+02 3.9991e-01
108 2.5607e+00 7.0000e-01 36 3.9990e-01 1.3973e-01 -5.2860e-05 -1.6996e-06 -4.6109e-05 6.9161e+02 3.9990e-01
109 2.5750e+00 7.0000e-01 36 3.9990e-01 1.3935e-01 -5.2860e-05 -1.6996e-06 -4.6108e-05 6.8740e+02 3.9990e-01
110 2.5894e+00 7.0000e-01 36 3.9990e-01 1.3896e-01 -5.2859e-05 -1.6996e-06 -4.6108e-05 6.8324e+02 3.9990e-01
111 2.6038e+00 7.2000e-01 37 3.9991e-01 1.3857e-01 -5.6834e-05 -1.7744e-06 -4.9565e-05 6.7920e+02 3.9991e-01
112 2.6182e+00 7.2000e-01 37 3.9990e-01 1.3819e-01 -5.6833e-05 -1.7744e-06 -4.9565e-05 6.7520e+02 3.9990e-01
113 2.6327e+00 7.2000e-01 37 3.9990e-01 1.3781e-01 -5.6833e-05 -1.7743e-06 -4.9564e-05 6.7123e+02 3.9990e-01
114 2.6472e+00 7.2000e-01 37 3.9990e-01 1.3743e-01 -5.6832e-05 -1.7743e-06 -4.9564e-05 6.6729e+02 3.9990e-01
115 2.6617e+00 7.2000e-01 37 3.9990e-01 1.3706e-01 -5.6831e-05 -1.7743e-06 -4.9563e-05 6.6339e+02 3.9990e-01
116 2.6763e+00 7.2000e-01 37 3.9990e-01 1.3668e-01 -5.6831e-05 -1.7743e-06 -4.9562e-05 6.5953e+02 3.9990e-01
117 2.6910e+00 7.2000e-01 37 3.9989e-01 1.3631e-01 -5.6830e-05 -1.7743e-06 -4.9562e-05 6.5570e+02 3.9989e-01
118 2.7056e+00 7.2000e-01 37 3.9989e-01 1.3594e-01 -5.6829e-05 -1.7743e-06 -4.9561e-05 6.5190e+02 3.9989e-01
119 2.7204e+00 7.2000e-01 37 3.9989e-01 1.3557e-01 -5.6829e-05 -1.7742e-06 -4.9561e-05 6.4813e+02 3.9989e-01
120 2.7351e+00 7.2000e-01 37 3.9989e-01 1.3521e-01 -5.6828e-05 -1.7742e-06 -4.9560e-05 6.4440e+02 3.9989e-01
121 2.7499e+00 7.4000e-01 38 3.9990e-01 1.3484e-01 -6.0944e-05 -1.8490e-06 -5.3139e-05 6.2671e+02 3.9990e-01
122 2.7647e+00 7.4000e-01 38 3.9989e-01 1.3448e-01 -6.0943e-05 -1.8489e-06 -5.3138e-05 6.2311e+02 3.9989e-01
123 2.7796e+00 7.4000e-01 38 3.9989e-01 1.3412e-01 -6.0942e-05 -1.8489e-06 -5.3138e-05 6.1955e+02 3.9989e-01
124 2.7945e+00 7.4000e-01 38 3.9989e-01 1.3376e-01 -6.0941e-05 -1.8489e-06 -5.3137e-05 6.1601e+02 3.9989e-01
125 2.8095e+00 7.4000e-01 38 3.9989e-01 1.3341e-01 -6.0941e-05 -1.8489e-06 -5.3136e-05 6.1251e+02 3.9989e-01
126 2.8245e+00 7.4000e-01 38 3.9988e-01 1.3305e-01 -6.0940e-05 -1.8489e-06 -5.3136e-05 6.0903e+02 3.9988e-01
127 2.8395e+00 7.4000e-01 38 3.9988e-01 1.3270e-01 -6.0939e-05 -1.8488e-06 -5.3135e-05 6.0559e+02 3.9988e-01
128 2.8546e+00 7.4000e-01 38 3.9988e-01 1.3235e-01 -6.0938e-05 -1.8488e-06 -5.3134e-05 6.0218e+02 3.9988e-01
129 2.8697e+00 7.4000e-01 38 3.9988e-01 1.3200e-01 -6.0938e-05 -1.8488e-06 -5.3134e-05 5.9879e+02 3.9988e-01
130 2.8848e+00 7.4000e-01 38 3.9988e-01 1.3165e-01 -6.0937e-05 -1.8488e-06 -5.3133e-05 5.9544e+02 3.9988e-01
131 2.9000e+00 7.6000e-01 39 3.9988e-01 1.3131e-01 -6.5191e-05 -1.9234e-06 -5.6831e-05 5.9219e+02 3.9988e-01
132 2.9152e+00 7.6000e-01 39 3.9988e-01 1.3096e-01 -6.5190e-05 -1.9233e-06 -5.6830e-05 5.8896e+02 3.9988e-01
133 2.9305e+00 7.6000e-01 39 3.9988e-01 1.3062e-01 -6.5190e-05 -1.9233e-06 -5.6829e-05 5.8576e+02 3.9988e-01
134 2.9458e+00 7.6000e-01 39 3.9988e-01 1.3028e-01 -6.5189e-05 -1.9233e-06 -5.6829e-05 5.8258e+02 3.9988e-01
135 2.9612e+00 7.6000e-01 39 3.9987e-01 1.2994e-01 -6.5188e-05 -1.9233e-06 -5.6828e-05 5.7943e+02 3.9987e-01
136 2.9766e+00 7.6000e-01 39 3.9987e-01 1.2961e-01 -6.5187e-05 -1.9233e-06 -5.6827e-05 5.7630e+02 3.9987e-01
137 2.9920e+00 7.6000e-01 39 3.9987e-01 1.2927e-01 -6.5186e-05 -1.9232e-06 -5.6826e-05 5.7321e+02 3.9987e-01
138 3.0075e+00 7.6000e-01 39 3.9987e-01 1.2894e-01 -6.5185e-05 -1.9232e-06 -5.6826e-05 5.7013e+02 3.9987e-01
139 3.0230e+00 7.6000e-01 39 3.9986e-01 1.2861e-01 -6.5184e-05 -1.9232e-06 -5.6825e-05 5.6708e+02 3.9986e-01
140 3.0385e+00 7.6000e-01 39 3.9986e-01 1.2828e-01 -6.5183e-05 -1.9232e-06 -5.6824e-05 5.6406e+02 3.9986e-01
141 3.0541e+00 7.8000e-01 40 3.9987e-01 1.2795e-01 -6.9574e-05 -1.9975e-06 -6.0639e-05 5.4889e+02 3.9987e-01
142 3.0698e+00 7.8000e-01 40 3.9987e-01 1.2762e-01 -6.9573e-05 -1.9975e-06 -6.0638e-05 5.4597e+02 3.9987e-01
143 3.0854e+00 7.8000e-01 40 3.9986e-01 1.2730e-01 -6.9572e-05 -1.9975e-06 -6.0637e-05 5.4308e+02 3.9986e-01
144 3.1011e+00 7.8000e-01 40 3.9986e-01 1.2698e-01 -6.9571e-05 -1.9975e-06 -6.0636e-05 5.4021e+02 3.9986e-01
145 3.1169e+00 7.8000e-01 40 3.9986e-01 1.2666e-01 -6.9570e-05 -1.9974e-06 -6.0635e-05 5.3736e+02 3.9986e-01
146 3.1327e+00 7.8000e-01 40 3.9986e-01 1.2634e-01 -6.9569e-05 -1.9974e-06 -6.0634e-05 5.3454e+02 3.9986e-01
147 3.1485e+00 7.8000e-01 40 3.9986e-01 1.2602e-01 -6.9568e-05 -1.9974e-06 -6.0633e-05 5.3174e+02 3.9986e-01
148 3.1644e+00 7.8000e-01 40 3.9985e-01 1.2570e-01 -6.9567e-05 -1.9974e-06 -6.0632e-05 5.2896e+02 3.9985e-01
149 3.1803e+00 7.8000e-01 40 3.9985e-01 1.2539e-01 -6.9566e-05 -1.9973e-06 -6.0632e-05 5.2620e+02 3.9985e-01
150 3.1962e+00 7.8000e-01 40 3.9985e-01 1.2507e-01 -6.9565e-05 -1.9973e-06 -6.0631e-05 5.2346e+02 3.9985e-01
151 3.2122e+00 8.0000e-01 41 3.9986e-01 1.2476e-01 -7.4088e-05 -2.0713e-06 -6.4559e-05 5.2082e+02 3.9986e-01
152 3.2283e+00 8.0000e-01 41 3.9985e-01 1.2445e-01 -7.4087e-05 -2.0713e-06 -6.4558e-05 5.1818e+02 3.9985e-01
153 3.2443e+00 8.0000e-01 41 3.9985e-01 1.2414e-01 -7.4086e-05 -2.0713e-06 -6.4557e-05 5.1557e+02 3.9985e-01
154 3.2604e+00 8.0000e-01 41 3.9985e-01 1.2384e-01 -7.4084e-05 -2.0713e-06 -6.4556e-05 5.1297e+02 3.9985e-01
155 3.2766e+00 8.0000e-01 41 3.9985e-01 1.2353e-01 -7.4083e-05 -2.0712e-06 -6.4555e-05 5.1040e+02 3.9985e-01
156 3.2928e+00 8.0000e-01 41 3.9984e-01 1.2323e-01 -7.4082e-05 -2.0712e-06 -6.4554e-05 5.0784e+02 3.9984e-01
157 3.3090e+00 8.0000e-01 41 3.9984e-01 1.2292e-01 -7.4081e-05 -2.0712e-06 -6.4553e-05 5.0530e+02 3.9984e-01
