Nmax,Ric_adim,delta,exp,folder,phi_r,phi_top,remarks,sum_phi,tau_ic,dot_r
2000,2.9194186755734095,0.20445,1.0,exp_1.00e+00_coeff_6.91e-03_radius_2.92e+00,0.023564250128675246,0.1882184129636089,,0.11317,422.75929444619555,0.0069056286021996925
1999,3.675709690409128,0.031669,1.0,exp_1.00e+00_coeff_2.19e-04_radius_3.68e+00,0.002308322475806035,0.0002405739463154921,,0.017376,16746.218759951218,0.00021949490467660865
2000,58.624166967253444,7.7653,1.0,exp_1.00e+00_coeff_8.91e-02_radius_5.86e+01,0.14845687833824714,0.2282076239946609,,0.22178,657.6553895306444,0.08914116405111855
2001,99.15052652550256,6.5308,1.0,exp_1.00e+00_coeff_8.29e-02_radius_9.92e+01,0.1469277382677886,0.243410915805268,,0.20533,1196.404503270156,0.08287374901589928
2001,0.14568740608579003,22529.0,1.0,exp_1.00e+00_coeff_2.00e+02_radius_1.46e-01,0.3999980492144315,0.3999997341269246,,0.4,0.0007276404131606299,200.21895905007804
2000,0.008103280914861613,5872.7,1.0,exp_1.00e+00_coeff_2.93e+00_radius_8.10e-03,0.3999995835375385,0.3999999430738921,,0.4,0.00276997520434888,2.9253983581294905
2000,0.6843381144261053,0.13014,1.0,exp_1.00e+00_coeff_3.01e-03_radius_6.84e-01,0.008259595349321858,0.3356879452630449,,0.21273000000000003,227.31470815496658,0.0030105316104735882
2000,5.965785885643501,2848.0,1.0,exp_1.00e+00_coeff_7.85e+01_radius_5.97e+00,0.399307878140978,0.3999365672579781,,0.39981,0.07603001438299706,78.46619435833827
2001,0.15457803554411664,0.062100999999999996,1.0,exp_1.00e+00_coeff_5.30e-04_radius_1.55e-01,0.07746111433651015,0.3842379006360199,,0.28418000000000004,291.6078468192463,0.0005300887381124972
2000,0.003977589152580698,156.13,1.0,exp_1.00e+00_coeff_3.82e-02_radius_3.98e-03,0.3999923098040741,0.3999989483287689,,0.4,0.1041885430686179,0.03817683821493774
2000,0.14922959665852648,123080.0,1.0,exp_1.00e+00_coeff_1.12e+03_radius_1.49e-01,0.39999963411735817,0.39999995014658907,,0.4,0.00013327584160013892,1119.7047782016853
2001,0.14893742958478573,3706.7,1.0,exp_1.00e+00_coeff_3.37e+01_radius_1.49e-01,0.3999878762384612,0.3999983486516007,,0.4,0.004425385184770955,33.65524657544455
2001,0.0008997766341888889,4030.8,1.0,exp_1.00e+00_coeff_2.23e-01_radius_9.00e-04,0.39999994225094215,0.39999999588979707,,0.4,0.00403570346498464,0.2229541000709559
2001,0.007952137934572518,865630.0,1.0,exp_1.00e+00_coeff_4.18e+02_radius_7.95e-03,0.39999999759681415,0.3999999998289532,,0.4,1.9001892226240992e-05,418.49189753801863
2001,0.31057801735487106,24768.0,1.0,exp_1.00e+00_coeff_4.56e+02_radius_3.11e-01,0.3999962200319003,0.3999994910016299,,0.4,0.0006805498203733306,456.363381573588
2000,5.259697749679645,14.952,1.0,exp_1.00e+00_coeff_4.62e-01_radius_5.26e+00,0.30428579505498776,0.3900153473603589,,0.37094,11.389817162993507,0.46178948041140233
