,Ric_adim,tau_ic,exp,sum_phi,delta,Nmax,folder,remarks
0,0.004896069742245516,1.6065163428089249,1.0,0.39988,4.049,2001,exp_1.00e+00_coeff_3.05e-03_radius_4.90e-03,
0,0.7671150672934804,0.0007830638045246658,1.0,0.39999,10122.0,2000,exp_1.00e+00_coeff_9.80e+02_radius_7.67e-01,
0,0.0348731074919022,0.7682353017341148,1.0,0.39958,8.4686,2000,exp_1.00e+00_coeff_4.54e-02_radius_3.49e-02,
0,0.001881270271149786,0.010495250883242038,1.0,0.4,619.95,2000,exp_1.00e+00_coeff_1.79e-01_radius_1.88e-03,
0,0.008393806072430612,17.259062217194646,1.0,0.39776999999999996,0.37569,2001,exp_1.00e+00_coeff_4.86e-04_radius_8.39e-03,
0,0.00806771108864067,4.949823041901476e-05,1.0,0.4,131430.0,2000,exp_1.00e+00_coeff_1.63e+02_radius_8.07e-03,
0,0.07881268872707871,0.4582593798992082,1.0,0.39944,14.22,2001,exp_1.00e+00_coeff_1.72e-01_radius_7.88e-02,
0,0.31677937185634386,264.2972799014754,1.0,0.17964000000000002,0.042625,2000,exp_1.00e+00_coeff_1.20e-03_radius_3.17e-01,
0,3.132686743674438,0.03811630256617218,1.0,0.39964,745.26,2001,exp_1.00e+00_coeff_8.22e+01_radius_3.13e+00,
0,0.0009017970006566859,6.957282003074698e-05,1.0,0.4,92953.0,2000,exp_1.00e+00_coeff_1.30e+01_radius_9.02e-04,
0,1.4194992612152,85.64010807652753,1.0,0.16537000000000002,0.16839,2000,exp_1.00e+00_coeff_1.66e-02_radius_1.42e+00,
0,0.0171663100391303,0.5931377903935879,1.0,0.39984000000000003,10.968,2001,exp_1.00e+00_coeff_2.89e-02_radius_1.72e-02,
0,219.849639330604,80167.39801559114,1.0,0.00077717,0.066424,4999,exp_1.00e+00_coeff_2.74e-03_radius_2.20e+02,
0,10.189110472452137,94538.80842410735,1.0,0.0027093000000000004,0.012171,2000,exp_1.00e+00_coeff_1.08e-04_radius_1.02e+01,
0,0.3682619082802571,0.0019272020468782977,1.0,0.39999,3548.3,2001,exp_1.00e+00_coeff_1.91e+02_radius_3.68e-01,
0,12.033245171714285,0.08154984473108519,1.0,0.39973000000000003,4153.8,2000,exp_1.00e+00_coeff_1.48e+02_radius_1.20e+01,
0,0.009775568634626138,117.03351267812668,1.0,0.38368,0.054233,2000,exp_1.00e+00_coeff_8.35e-05_radius_9.78e-03,
0,4.985682581494464,19.999748028263284,1.0,0.28292,2.2019,2000,exp_1.00e+00_coeff_2.49e-01_radius_4.99e+00,
