,Nmax,Ric_adim,delta,exp,folder,phi_r,phi_top,remarks,sum_phi,tau_ic,dot_r
0,2000,6.637426869460117,1520400.0,0.5,exp_5.00e-01_coeff_6.02e+02_radius_6.64e+00,0.3999988031348388,0.3999998216296261,,0.4,0.00012172113287958286,27264.891118070835
0,4000,10.0,41080.0,0.5,exp_5.00e-01_coeff_1.00e+02_radius_1.00e+01,0.3999327132958117,0.3999894072888657,,0.39997,0.010000000000000002,499.9999999999999
0,2000,56.46395396856435,0.036912,0.5,exp_5.00e-01_coeff_1.10e-01_radius_5.65e+01,0.006090247144182936,8.664688686310651e-05,,0.0012007,263682.5266115784,0.00010706806153245686
0,2000,0.10203962537846681,489.68,0.5,exp_5.00e-01_coeff_7.03e-01_radius_1.02e-01,0.3999404318692902,0.399989671290886,,0.39998,0.021038291199280926,2.4250929985690677
0,2000,3.7255102063563883,117.28,0.5,exp_5.00e-01_coeff_5.01e+00_radius_3.73e+00,0.3914110774817332,0.398780689159104,,0.39691,0.5529161001029801,3.368965206170082
0,19997,316.22776601683796,0.097427,0.5,exp_5.00e-01_coeff_1.12e+00_radius_3.16e+02,0.027244636307837574,0.0025730842554968487,,0.0075653000000000005,79056.9415042095,0.0019999999999999996
0,2000,44.35005149092273,0.21083000000000002,0.5,exp_5.00e-01_coeff_3.51e-02_radius_4.44e+01,0.002176147021404562,3.222595612362156e-06,,0.00065415,1597815.3745057618,1.3878340451142906e-05
0,2000,0.00513238930871714,85608000.0,0.5,exp_5.00e-01_coeff_2.55e+01_radius_5.13e-03,0.3999999999942203,0.3999999999990005,,0.4,4.0521041484219466e-08,63329.92836223003
0,2000,0.004611513012238327,66516.0,0.5,exp_5.00e-01_coeff_3.71e-01_radius_4.61e-03,0.3999999801409141,0.3999999965516464,,0.4,0.00015448372009265658,14.925563060859822
0,2000,0.16872096273966694,0.08531,0.5,exp_5.00e-01_coeff_1.50e-02_radius_1.69e-01,0.1051136380747454,0.3638422333953054,,0.29362,126.52453295088657,0.0006667519681940256
0,5000,204.35770982789597,101.59,0.5,exp_5.00e-01_coeff_3.38e-02_radius_2.04e+02,0.0009691609212438834,1.905074387131833e-08,,0.00024129,36605671.18839667,2.7913394727300292e-06
0,2000,1.6209310983355587,8864800.0,0.5,exp_5.00e-01_coeff_1.05e+03_radius_1.62e+00,0.3999999488813876,0.39999999237480144,,0.4,2.363071074445074e-06,342971.2960953166
0,2000,12.637003205922007,10378.0,0.5,exp_5.00e-01_coeff_5.04e+01_radius_1.26e+01,0.39966372230901737,0.3999453194154536,,0.39987,0.06290235294694102,100.44936805926392
