Ric_adim,coeff_velocity,exp,sum_phi,delta,r0_supercooling,tau_ic,r_dot
10.0,0.0199526231496888,0.5,0.0020589000000000002,0.009778299999999998,0.8,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0020843000000000003,0.009860700000000002,1.6,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0020858,0.0097498,1.2,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0021411,0.0099839,2.0,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0023691,0.0098341,2.4,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0026921999999999996,0.0097496,2.8000000000000003,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0030233,0.010012,3.2,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0035994,0.010032,3.5999999999999996,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0043711,0.009782299999999999,4.0,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0049884,0.009885,4.4,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0057845,0.009749700000000002,4.8,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0066687,0.0099427,5.2,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0078181,0.0098695,5.6000000000000005,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.0088871,0.0098457,6.0,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.010073,0.0098579,6.4,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.011534,0.009904099999999999,6.800000000000001,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.013044,0.0099946,7.199999999999999,251188.64315095797,1.9905358527674864e-05
10.0,0.0199526231496888,0.5,0.01459,0.009802799999999999,7.6,251188.64315095797,1.9905358527674864e-05
